id,gender,age,province,income,bank,num_products,client_duration,payment,distrn
X00001,M,37,GP,12600.0,Nedbank,1,0,Stop order,Broker
X00002,M,44,WC,36000.0,Capitec,1,1,Debit order,Broker
X00003,Male,44,KZN,2300.0,Standard,2,0,Stop order,Broker
X00004,F,45,WC,3000.0,Capitec,3,2,Debit order,Broker
X00005,M,40,EC,23100.0,Other,3,1,Stop order,Broker
X00006,M,46,NW,37400.0,Standard,2,0,Debit order,Internal
X00007,M,53,KZN,8400.0,FNB,2,1,Debit order,Internal
X00008,M,50,GP,15700.0,FNB,1,2,Debit order,Broker
X00009,Male,52,EC,3600.0,FNB,3,2,Stop order,Broker
X00010,M,37,WC,2800.0,Capitec,2,0,Debit order,Internal
X00011,M,47,EC,11200.0,ABSA,6,1,Debit order,Broker
X00012,M,42,NW,4800.0,Nedbank,6,0,Debit order,Broker
X00013,M,48,FS,20400.0,Capitec,1,4,Debit order,Broker
X00014,F,53,NC,2600.0,Capitec,2,0,Debit order,Broker
X00015,F,47,KZN,14800.0,Capitec,7,1,Debit order,Internal
X00016,M,51,GP,34400.0,FNB,9,0,Debit order,Broker
X00017,M,37,KZN,2300.0,Standard,6,0,Debit order,Broker
X00018,M,39,GP,10900.0,Capitec,2,0,Debit order,Broker
X00019,F,50,GP,14300.0,Capitec,8,1,Debit order,Broker
X00020,Female,56,WC,6700.0,FNB,2,2,Debit order,Broker
X00021,F,32,KZN,26700.0,FNB,1,4,Debit order,Digital
X00022,F,36,KZN,,Capitec,2,1,Debit order,Internal
X00023,M,37,NW,14700.0,Nedbank,2,0,Debit order,Broker
X00024,M,42,GP,29100.0,Capitec,7,2,Debit order,Broker
X00025,F,53,GP,,Standard,3,0,Debit order,Broker
X00026,M,37,KZN,27000.0,ABSA,1,0,Debit order,Internal
X00027,M,49,KZN,25200.0,Nedbank,1,1,Debit order,Broker
X00028,F,35,GP,13400.0,Capitec,3,4,Debit order,Internal
X00029,F,45,WC,13800.0,Capitec,4,0,Debit order,Internal
X00030,M,44,KZN,,,3,2,,Internal
X00031,M,41,GP,72000.0,ABSA,2,0,Debit order,Broker
X00032,F,51,KZN,12700.0,Other,2,0,Stop order,Broker
X00033,F,43,GP,3200.0,Capitec,1,1,Debit order,Internal
X00034,F,50,GP,27000.0,Nedbank,2,1,Debit order,Broker
X00035,F,41,GP,20600.0,Capitec,1,1,Debit order,Internal
X00036,M,48,WC,,Capitec,3,0,Debit order,Broker
X00037,M,39,WC,4400.0,Capitec,10,1,Debit order,Internal
X00038,F,36,KZN,13000.0,Capitec,5,1,Debit order,Broker
X00039,M,53,KZN,19400.0,FNB,4,1,Debit order,Broker
X00040,Female,29,GP,6300.0,Standard,4,3,Stop order,Broker
X00041,Male,50,WC,16000.0,Other,5,0,Stop order,Broker
X00042,F,43,LP,7100.0,Capitec,1,1,Debit order,Internal
X00043,M,46,EC,14600.0,Capitec,5,0,Debit order,Broker
X00044,M,37,GP,5200.0,FNB,1,4,Debit order,Internal
X00045,F,46,EC,9800.0,Capitec,1,5,Debit order,Internal
X00046,Female,37,WC,24500.0,ABSA,2,0,Stop order,Digital
X00047,Female,51,GP,,Capitec,1,0,Debit order,Internal
X00048,F,42,GP,14400.0,FNB,1,1,Debit order,Digital
X00049,F,38,FS,21700.0,Capitec,7,0,Debit order,Broker
X00050,M,44,KZN,6800.0,FNB,3,1,Debit order,Broker
X00051,M,44,KZN,1660000.0,Capitec,1,0,Debit order,Broker
X00052,M,56,KZN,20200.0,Capitec,1,0,Debit order,Internal
X00053,M,36,KZN,10500.0,Nedbank,10,1,Debit order,Broker
X00054,M,42,KZN,3700.0,ABSA,1,1,Debit order,Broker
X00055,F,49,GP,44500.0,Nedbank,4,0,Debit order,Broker
X00056,Male,43,LP,2400.0,Capitec,4,2,Debit order,Internal
X00057,Male,49,NC,11700.0,Standard,1,3,Stop order,Broker
X00058,Male,37,NC,,,1,0,,Broker
X00059,F,57,NW,12700.0,FNB,6,0,Stop order,Broker
X00060,M,51,GP,,FNB,2,0,Stop order,Broker
X00061,F,46,NC,24900.0,Nedbank,4,2,Stop order,Broker
X00062,M,47,GP,2600.0,Capitec,2,1,Debit order,Internal
X00063,F,49,FS,30600.0,FNB,1,2,Debit order,Internal
X00064,F,48,LP,22900.0,Capitec,3,1,Debit order,Internal
X00065,F,45,NW,14800.0,Capitec,2,0,Debit order,Internal
X00066,F,48,LP,20400.0,Capitec,1,0,Debit order,Internal
X00067,M,46,GP,16300.0,Capitec,2,0,Debit order,Internal
X00068,F,54,EC,5400.0,Capitec,1,0,Debit order,Broker
X00069,M,42,EC,13900.0,FNB,1,0,Debit order,Broker
X00070,F,39,NC,9600.0,Capitec,1,1,Debit order,Broker
X00071,F,28,GP,4400.0,Capitec,7,1,Debit order,Broker
X00072,F,43,MP,2500.0,Capitec,4,0,Debit order,Internal
X00073,M,53,LP,22900.0,Capitec,7,0,Debit order,Internal
X00074,F,52,WC,5800.0,ABSA,1,2,Debit order,Internal
X00075,M,37,KZN,7500.0,Capitec,1,4,Debit order,Internal
X00076,M,51,WC,29600.0,ABSA,1,1,Debit order,Broker
X00077,F,45,GP,3200.0,,1,0,,Internal
X00078,F,45,WC,13100.0,Capitec,1,1,Debit order,Internal
X00079,F,40,KZN,17300.0,Standard,4,0,Debit order,Broker
X00080,F,49,MP,20800.0,Capitec,8,1,Debit order,Internal
X00081,M,52,WC,11100.0,Standard,5,2,Debit order,Broker
X00082,F,36,GP,29700.0,FNB,2,0,Stop order,Broker
X00083,F,41,GP,840000.0,ABSA,4,1,Stop order,Internal
X00084,F,52,GP,7900.0,Capitec,1,1,Debit order,Internal
X00085,F,39,MP,4400.0,Capitec,1,1,Debit order,Broker
X00086,F,35,LP,8500.0,Capitec,2,1,Debit order,Digital
X00087,F,57,MP,4800.0,Capitec,2,0,Debit order,Internal
X00088,M,48,WC,52400.0,FNB,2,2,Debit order,Broker
X00089,M,39,FS,2700.0,Capitec,1,4,Debit order,Digital
X00090,M,49,GP,6800.0,Capitec,1,1,Debit order,Digital
X00091,M,54,EC,50800.0,ABSA,2,0,Stop order,Internal
X00092,Male,45,EC,52900.0,Standard,1,0,Debit order,Broker
X00093,Male,41,GP,5400.0,ABSA,2,2,Stop order,Internal
X00094,M,34,LP,32600.0,Standard,3,0,Debit order,Broker
X00095,M,59,GP,3300.0,Capitec,7,2,Debit order,Internal
X00096,M,45,GP,74700.0,FNB,1,0,Debit order,Broker
X00097,F,58,EC,16900.0,Capitec,6,3,Debit order,Internal
X00098,M,39,WC,3700.0,Capitec,1,0,Debit order,Broker
