"id","gender","age","province","income","bank","num_products","client_duration","payment","distrn","option","family","lapse_indicator","single_premium","couple_premium","family_premium"
X05614,Male,45,GP,5500.0,Standard,4,0,Debit order,Internal,HospiC!re,Single,0,,,
X04625,Male,38,GP,20200.0,Nedbank,4,1,Debit order,Internal,HospiC!re,Couple,0,,,
X00197,Male,50,MP,5200.0,ABSA,1,3,Debit order,Internal,HospiC!re,Family,1,,,
X03746,Male,46,KZN,3800.0,FNB,1,0,Debit order,Internal,HospiC!re,Couple,0,,,
X14585,Male,32,WC,23400.0,FNB,3,2,Debit order,Broker,HospiC!re,Family,0,,,
X13018,Female,43,WC,4400.0,Capitec,1,2,Debit order,Broker,HospiC!re,Single,0,,,
X02947,Female,40,MP,3100.0,ABSA,4,3,Stop order,Internal,HospiC!re,Family,1,,,
X02721,Female,48,WC,4100.0,Standard,2,3,Debit order,Broker,HospiC!re,Single,1,,,
X02699,Male,56,WC,13500.0,Capitec,1,2,Debit order,Broker,HospiC!re,Family,0,,,
X14670,Male,38,NW,13800.0,Capitec,2,0,Debit order,Internal,HospiC!re,Family,1,,,
X12040,Male,49,WC,19500.0,FNB,2,0,Debit order,Internal,HospiC!re,Single,0,,,
X01862,Female,55,GP,9500.0,Capitec,1,0,Debit order,Internal,HospiC!re,Family,0,,,
X18979,Female,46,NW,34200.0,Nedbank,2,0,Stop order,Broker,HospiC!re,Family,1,,,
X09634,Male,46,WC,2400.0,Capitec,1,1,Debit order,Broker,HospiC!re,Family,0,,,
X19773,Female,43,GP,3100.0,Capitec,1,1,Debit order,Broker,HospiC!re,Couple,1,,,
X01540,Female,33,MP,4000.0,FNB,8,0,Debit order,Broker,HospiC!re,Single,0,,,
X17717,Male,43,GP,13200.0,Capitec,1,2,Debit order,Internal,HospiC!re,Family,0,,,
X16658,Female,39,EC,17300.0,Capitec,1,0,Debit order,Broker,HospiC!re,Family,0,,,
X01408,Male,54,KZN,2900.0,Capitec,3,3,Debit order,Broker,HospiC!re,Single,1,,,
X09238,Female,43,GP,5100.0,Capitec,4,1,Debit order,Internal,HospiC!re,Family,1,,,
X17609,Female,40,KZN,3700.0,ABSA,1,3,Stop order,Broker,HospiC!re,Couple,1,,,
X01177,Female,41,LP,18400.0,Capitec,1,1,Debit order,Digital,HospiC!re,Couple,1,,,
X07385,Male,48,KZN,2500.0,ABSA,1,2,Stop order,Broker,HospiC!re,Couple,0,,,
X07367,Female,49,GP,14000.0,FNB,1,2,Debit order,Broker,HospiC!re,Family,1,,,
X16582,Male,37,EC,29100.0,FNB,2,1,Stop order,Internal,HospiC!re,Family,1,,,
X00133,Male,41,GP,11800.0,ABSA,3,3,Debit order,Internal,HospiCare,Family,0,350,630,1120
X00141,Female,54,WC,7100.0,Nedbank,1,2,Debit order,Internal,HospiCare,Single,0,350,630,1120
X00151,Male,44,KZN,5200.0,ABSA,2,1,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X00163,Female,43,WC,21200.0,FNB,1,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X00164,Female,50,KZN,16900.0,Capitec,1,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X00172,Female,55,KZN,2900.0,Capitec,2,1,Debit order,Broker,HospiCare,Family,0,350,630,1120
X00187,Male,54,EC,19400.0,Other,2,4,Debit order,Internal,HospiCare,Family,0,350,630,1120
X00193,Female,41,WC,,ABSA,9,1,Debit order,Broker,HospiCare,Couple,1,350,630,1120
X00201,Female,39,KZN,3500.0,Capitec,2,0,Debit order,Internal,HospiCare,Couple,1,350,630,1120
X00205,Male,49,WC,12700.0,Standard,3,1,Debit order,Internal,HospiCare,Family,0,350,630,1120
X00210,Female,46,GP,43900.0,ABSA,3,0,Debit order,Broker,HospiCare,Family,1,350,630,1120
X00231,Female,41,KZN,16500.0,Nedbank,3,1,Stop order,Internal,HospiCare,Single,1,350,630,1120
X00233,Female,47,NW,2600.0,ABSA,7,0,Stop order,Broker,HospiCare,Family,0,350,630,1120
X00236,Female,45,EC,10600.0,FNB,6,1,Debit order,Digital,HospiCare,Couple,1,350,630,1120
X00239,Female,47,WC,5200.0,Nedbank,7,0,Debit order,Broker,HospiCare,Family,0,350,630,1120
X00244,Male,53,LP,47700.0,ABSA,2,1,Debit order,Internal,HospiCare,Couple,0,350,630,1120
X00254,Female,35,KZN,4800.0,ABSA,2,3,Debit order,Broker,HospiCare,Family,0,350,630,1120
X00259,Male,44,NW,5000.0,Capitec,10,3,Debit order,Internal,HospiCare,Single,1,350,630,1120
